Iteracions,Seed,k,Lambda,Beneficis
1,-924265993,5,1.0,75
1,-924265993,5,1.0,76
1,-924265993,5,1.0,75
1,-924265993,5,1.0,76
1,-924265993,5,1.0,68
1,-924265993,5,1.0,69
1,-924265993,5,1.0,71
1,-924265993,5,1.0,84
1,-924265993,5,1.0,76
1,-924265993,5,1.0,76
1,-924265993,5,1.0,79
1,-924265993,5,1.0,74
1,-924265993,5,1.0,78
1,-924265993,5,1.0,80
1,-924265993,5,1.0,94
1,-924265993,5,1.0,66
1,-924265993,5,1.0,75
1,-924265993,5,1.0,64
1,-924265993,5,1.0,82
1,-924265993,5,1.0,78
1,-924265993,5,1.0,81
1,-924265993,5,1.0,77
1,-924265993,5,1.0,76
1,-924265993,5,1.0,80
1,-924265993,5,1.0,73
1,-924265993,5,1.0,77
1,-924265993,5,1.0,71
1,-924265993,5,1.0,78
1,-924265993,5,1.0,92
1,-924265993,5,1.0,63
1,-924265993,5,1.0,88
1,-924265993,5,1.0,72
1,-924265993,5,1.0,85
1,-924265993,5,1.0,84
1,-924265993,5,1.0,87
1,-924265993,5,1.0,90
1,-924265993,5,1.0,90
1,-924265993,5,1.0,83
1,-924265993,5,1.0,77
1,-924265993,5,1.0,83
1,-924265993,5,1.0,78
1,-924265993,5,1.0,81
1,-924265993,5,1.0,75
1,-924265993,5,1.0,84
1,-924265993,5,1.0,78
1,-924265993,5,1.0,70
1,-924265993,5,1.0,78
1,-924265993,5,1.0,72
1,-924265993,5,1.0,73
1,-924265993,5,1.0,92
1,-924265993,5,1.0,78
1,-924265993,5,1.0,83
1,-924265993,5,1.0,84
1,-924265993,5,1.0,70
1,-924265993,5,1.0,85
1,-924265993,5,1.0,77
1,-924265993,5,1.0,78
1,-924265993,5,1.0,72
1,-924265993,5,1.0,76
1,-924265993,5,1.0,77
1,-924265993,5,1.0,78
1,-924265993,5,1.0,75
1,-924265993,5,1.0,69
1,-924265993,5,1.0,94
1,-924265993,5,1.0,82
1,-924265993,5,1.0,75
1,-924265993,5,1.0,85
1,-924265993,5,1.0,83
1,-924265993,5,1.0,76
1,-924265993,5,1.0,95
1,-924265993,5,1.0,84
1,-924265993,5,1.0,90
1,-924265993,5,1.0,79
1,-924265993,5,1.0,75
1,-924265993,5,1.0,81
1,-924265993,5,1.0,82
1,-924265993,5,1.0,70
1,-924265993,5,1.0,78
1,-924265993,5,1.0,75
1,-924265993,5,1.0,78
1,-924265993,5,1.0,73
1,-924265993,5,1.0,76
1,-924265993,5,1.0,76
1,-924265993,5,1.0,86
1,-924265993,5,1.0,78
1,-924265993,5,1.0,74
1,-924265993,5,1.0,72
1,-924265993,5,1.0,78
1,-924265993,5,1.0,75
1,-924265993,5,1.0,71
1,-924265993,5,1.0,68
1,-924265993,5,1.0,69
1,-924265993,5,1.0,89
1,-924265993,5,1.0,90
1,-924265993,5,1.0,90
1,-924265993,5,1.0,79
1,-924265993,5,1.0,77
1,-924265993,5,1.0,88
1,-924265993,5,1.0,88
1,-924265993,5,1.0,77
2,1864056363,5,1.0,125
2,1864056363,5,1.0,108
2,1864056363,5,1.0,107
2,1864056363,5,1.0,127
2,1864056363,5,1.0,106
2,1864056363,5,1.0,122
2,1864056363,5,1.0,108
2,1864056363,5,1.0,124
2,1864056363,5,1.0,124
2,1864056363,5,1.0,110
2,1864056363,5,1.0,109
