Experimento,Furgonetas,Beneficios
1,5,62
2,5,73
3,5,43
4,5,32
5,5,65
6,5,94
7,5,65
8,5,22
9,5,62
10,5,46
11,5,65
12,5,73
13,5,92
14,5,73
15,5,54
16,5,69
17,5,65
18,5,84
19,5,79
20,5,56
21,5,71
22,5,49
23,5,13
24,5,73
25,5,65
26,5,24
27,5,65
28,5,54
29,5,71
30,5,56
31,5,65
32,5,73
33,5,62
34,5,49
35,5,62
36,5,54
37,5,80
38,5,69
39,5,64
40,5,50
41,5,76
42,5,73
43,5,73
44,5,58
45,5,57
46,5,79
47,5,54
48,5,35
49,5,84
50,5,77
51,5,79
52,5,59
53,5,84
54,5,51
55,5,35
56,5,65
57,5,73
58,5,73
59,5,71
60,5,79
61,5,92
62,5,84
63,5,22
64,5,65
65,5,73
66,5,79
67,5,41
68,5,64
69,5,65
70,5,53
71,5,64
72,5,81
73,5,84
74,5,45
75,5,84
76,5,35
77,5,77
78,5,65
79,5,65
80,5,58
81,5,83
82,5,75
83,5,62
84,5,38
85,5,63
86,5,62
87,5,65
88,5,35
89,5,59
90,5,84
91,5,54
92,5,50
93,5,32
94,5,65
95,5,63
96,5,69
97,5,43
98,5,73
99,5,57
100,5,84
1,10,73
2,10,97
3,10,75
4,10,100
5,10,107
6,10,97
7,10,89
8,10,89
9,10,64
10,10,109
11,10,106
12,10,100
13,10,117
14,10,107
15,10,77
16,10,124
17,10,90
18,10,99
19,10,117
20,10,110
21,10,91
22,10,106
23,10,84
24,10,121
25,10,82
26,10,94
27,10,102
28,10,125
29,10,112
30,10,99
31,10,116
32,10,99
33,10,92
34,10,100
35,10,111
36,10,106
37,10,106
38,10,113
39,10,80
40,10,121
41,10,113
42,10,105
43,10,91
44,10,84
45,10,110
46,10,101
47,10,81
48,10,117
49,10,115
50,10,94
51,10,88
52,10,115
53,10,113
54,10,117
55,10,105
56,10,120
57,10,108
58,10,92
59,10,113
60,10,104
61,10,87
62,10,120
63,10,105
64,10,117
65,10,117
66,10,113
67,10,73
68,10,87
69,10,113
70,10,99
71,10,75
72,10,97
73,10,87
74,10,101
75,10,65
76,10,102
77,10,117
78,10,84
79,10,111
80,10,125
81,10,113
82,10,119
83,10,73
84,10,94
85,10,77
86,10,107
87,10,89
88,10,119
89,10,121
90,10,93
91,10,115
92,10,106
93,10,93
94,10,89
95,10,100
96,10,80
97,10,82
98,10,82
99,10,102
100,10,97
1,15,124
2,15,106
3,15,125
4,15,123
5,15,125
6,15,125
7,15,121
8,15,108
9,15,107
10,15,125
11,15,125
12,15,79
13,15,109
14,15,102
15,15,115
16,15,108
17,15,125
18,15,117
19,15,108
20,15,117
21,15,121
22,15,89
23,15,120
24,15,117
25,15,105
26,15,125
27,15,120
28,15,117
29,15,111
30,15,106
31,15,95
32,15,117
33,15,125
34,15,115
35,15,106
36,15,110
37,15,125
38,15,125
39,15,106
40,15,99
41,15,118
42,15,125
43,15,121
44,15,125
45,15,117
46,15,98
47,15,108
48,15,125
49,15,124
50,15,104
51,15,124
52,15,125
53,15,117
54,15,124
55,15,117
56,15,98
57,15,123
58,15,121
59,15,121
60,15,104
61,15,125
62,15,119
63,15,116
64,15,125
65,15,85
66,15,109
67,15,115
68,15,99
69,15,110
70,15,125
71,15,106
72,15,119
73,15,122
74,15,125
75,15,124
76,15,106
77,15,106
78,15,119
79,15,113
80,15,117
81,15,120
82,15,98
83,15,123
84,15,92
85,15,92
86,15,117
87,15,116
88,15,120
89,15,125
90,15,107
91,15,87
92,15,114
93,15,108
94,15,115
95,15,87
96,15,106
97,15,113
98,15,111
99,15,109
100,15,99
1,20,121
2,20,125
3,20,117
4,20,117
5,20,101
6,20,122
7,20,116
8,20,120
9,20,125
10,20,125
11,20,125
12,20,117
13,20,116
14,20,122
15,20,125
16,20,125
17,20,125
18,20,121
19,20,121
20,20,122
21,20,125
22,20,117
23,20,113
24,20,112
25,20,112
26,20,114
27,20,103
28,20,120
29,20,108
30,20,114
31,20,112
32,20,119
33,20,121
34,20,111
35,20,125
36,20,118
37,20,124
38,20,125
39,20,103
40,20,125
41,20,117
42,20,117
43,20,125
44,20,125
45,20,123
46,20,113
47,20,121
48,20,124
49,20,125
50,20,116
51,20,121
52,20,125
53,20,117
54,20,101
55,20,119
56,20,114
57,20,114
58,20,123
59,20,102
60,20,125
61,20,102
62,20,100
63,20,114
64,20,125
65,20,125
66,20,114
67,20,114
68,20,115
69,20,122
70,20,117
71,20,119
72,20,115
73,20,106
74,20,125
75,20,107
76,20,117
77,20,122
78,20,115
79,20,124
80,20,125
81,20,123
82,20,107
83,20,124
84,20,110
85,20,120
86,20,116
87,20,125
88,20,121
89,20,118
90,20,116
91,20,118
92,20,117
93,20,125
94,20,125
95,20,117
96,20,119
97,20,125
98,20,120
99,20,123
100,20,125
1,25,124
2,25,121
3,25,116
4,25,125
5,25,107
6,25,114
7,25,121
8,25,113
9,25,112
10,25,124
11,25,117
12,25,122
13,25,121
14,25,124
15,25,125
16,25,125
17,25,123
18,25,93
19,25,124
20,25,121
21,25,114
22,25,125
23,25,125
24,25,122
25,25,125
26,25,112
27,25,125
28,25,124
29,25,123
30,25,123
31,25,125
32,25,117
33,25,125
34,25,93
35,25,117
36,25,124
37,25,119
38,25,108
39,25,117
40,25,115
