hillClimbing
Experiment,Beneficis,Distancia,Temps (ms),Beneficis,Distancia,Temps (ms)
1,54,47900.0,117,50,18040.0,145
2,53,50520.0,65,57,18660.0,80
3,42,45690.0,32,45,13240.0,55
4,50,46300.0,27,56,15770.0,42
5,46,43210.0,20,54,13730.0,31
6,57,43760.0,25,64,15150.0,37
7,54,44360.0,21,59,14540.0,34
8,45,41620.0,20,54,14520.0,28
9,42,49030.0,19,53,15040.0,32
10,48,50980.0,22,52,22910.0,31
Mitjana (desv. típica),49.1 (5.049),46337.0 (3028.99),36.8 (29.725),54.4 (4.883),16160.0 (2784.22),51.5 (34.564)
