simulatedAnnealing
Experiment,Beneficis,Distancia,Temps (ms),Beneficis,Distancia,Temps (ms)
1,88,60220.0,13,100,34960.0,7
2,99,74050.0,5,102,37680.0,5
3,102,63810.0,4,100,32550.0,4
4,102,66650.0,2,109,34390.0,2
5,110,66550.0,2,102,36280.0,2
6,100,68450.0,2,97,37790.0,2
7,105,68840.0,2,103,31080.0,2
8,92,72050.0,2,103,37980.0,2
9,104,69440.0,2,106,34060.0,2
10,87,75920.0,2,88,37250.0,2
Mitjana (desv. típica),98.9 (7.176),68598.0 (4440.119),3.6 (3.292),101.0 (5.348),35402.0 (2270.638),3.0 (1.673)
