tiempoEjecucion
Experiment,Num estacions,Temps d'Execució (ms)
1,25,361
1,50,496
1,75,792
1,100,854
1,125,2175
1,150,3067
1,175,3777
1,200,4917
1,225,8281
1,250,7602
2,25,13
2,50,128
2,75,356
2,100,509
2,125,1285
2,150,1921
2,175,3950
2,200,3936
2,225,7888
2,250,9313
3,25,11
3,50,90
3,75,335
3,100,501
3,125,2329
3,150,2613
3,175,3974
3,200,5334
3,225,6086
3,250,8567
4,25,12
4,50,126
4,75,227
4,100,720
4,125,1137
4,150,2247
4,175,3772
4,200,4824
4,225,7599
4,250,10011
5,25,11
5,50,104
5,75,383
5,100,466
5,125,1143
5,150,2167
5,175,3429
5,200,5164
5,225,6567
5,250,10554
6,25,10
6,50,105
6,75,288
6,100,778
6,125,1366
6,150,2059
6,175,3732
6,200,5503
6,225,5766
6,250,7566
7,25,8
7,50,142
7,75,274
7,100,723
7,125,1480
7,150,1710
7,175,3086
7,200,5570
7,225,7114
7,250,12083
8,25,32
8,50,78
8,75,394
8,100,577
8,125,1457
8,150,1515
8,175,3065
8,200,4791
8,225,6079
8,250,9101
9,25,10
9,50,108
9,75,246
9,100,980
9,125,956
9,150,2056
9,175,2790
9,200,4905
9,225,8857
9,250,8521
10,25,14
10,50,63
10,75,437
10,100,584
10,125,1741
10,150,1574
10,175,2116
10,200,4654
10,225,6834
10,250,9396
